time,title,content
2026-01-15 07:05,台積電法說會 1月15日重要財經行事曆,"行政院院會

台積電法說會、貿協年度記者會

除權息：宣德、聖暉*

法人說明會：台積電

增資股上市：均豪、海柏特

興櫃掛牌：睿信

美國上周初領失業金人數

德國2025 GDP

南韓央行利率政策

印度12月貿易收支

財報：摩根士丹利、高盛

大陸第二屆eVTOL創新發展大會"
2026-01-15 07:05,台積電法說會 1月15日重要財經行事曆,"行政院院會

台積電法說會、貿協年度記者會

除權息：宣德、聖暉*

法人說明會：台積電

增資股上市：均豪、海柏特

興櫃掛牌：睿信

美國上周初領失業金人數

德國2025 GDP

南韓央行利率政策

印度12月貿易收支

財報：摩根士丹利、高盛

大陸第二屆eVTOL創新發展大會"
2026-01-15 01:49,"台股多方大集結 指數衝上30,941點再登高峰 老 AI 股重獲青睞","台股昨（14）日多頭火力全開，除外資買盤持續點火，加上押寶買盤轉進老AI股如鴻海、廣達等，市場主力與散戶群也積極追捧，帶動指數開高收高，終場大漲234點、收30,941點，再次改寫歷史新猷；櫃買指數也收漲1.8%至290點，創下25年多來波段高峰，多方行情持續向上推進。

台股目前多頭士氣如虹，昨日在外資、自營商等法人，及主力、散戶等多頭大軍持續追捧下，日K線連三紅，指數也連三日收高，短短三個交易日累計大漲652點，盤中30,994點也再度改寫歷史新猷。不過，權值股台積電量縮在平盤附近震盪，市場聚焦今日法說會。

昨日盤面上，強勢族群集中在重電能源、工具機、太陽能、智慧電網、BBU、機器人、被動元件等，其中重電能源族群的華城 （1519） 12月營收、去年營收都創歷史新高，股價帶量漲停創波段新高，士電 （1503） 、亞力 （1514） 、東元 （1504） 同樣也漲停創波段新高，中興電 （1513） 、大同 （2371） 也上漲超過半根漲停板。

另外，觀察技術面，法人指出，台股昨日上漲0.7%，成交金額6,819.8億元，呈「價漲量縮」格局，且成交量低於5日均量，因此盤中創新高後拉回，終場仍創收盤新高。

另一方面，由於本月7日爆量低點30,306已經站穩，甚至過了高點30,570點，顯示短線換手成功，在均線多頭排列下，KD指標高檔鈍化、RSI向上延伸、MACD紅色柱體放大，整體多方氣勢旺盛，有利後續沿短均向上。

三大法人昨日合計買超138.8億元。外資買超132.8億元、連二買，累計買超290.2億元；投信賣超65.1億元、連14賣，累計賣超672.6億元；自營商買超71.1億元、連四買，累計買超206億元。八大公股行庫持續逢高調節，賣超43.9億元。

綜合富邦投顧董事長陳奕光、統一投顧董事長黎方國、台新投顧副總經理黃文清表示，台美關稅有望下調至15%，加上預期台積電法說會將利多消息頻傳，成為推升指數續強的關鍵。在資金行情推動下，指數暫不預設高點，高檔震盪可視為籌碼換手整理。

此外，隨台積電在美國大規模擴產，最直接受惠族群為廠務工程與無塵室相關產業，台積電概念股行情已由「點」擴散至「面」。市場高度期待今日法說，若對2026年資本支出與毛利率展望優於預期，今年半導體行情可望持續升溫。近期操作上，可留意AI相關、被動元件、半導體設備及重電族群等。

法人：台股三利多撐腰 還會「驚驚漲」

VIP／台股31,000點關前震盪換手 16檔站穩所有均線強勢股領漲抗跌"
2026-01-15 00:07,京元電2026年營收拚增40%  GPU、ASIC 測試業務升溫,"測試大廠京元電子 （2449） 今年受惠人工智慧（AI）需求大爆發，且下一代GPU測試時間大幅拉長及ASIC測試需求升溫，法人預期，京元電來自AI營收占比將大幅提升至75%至77%，涵蓋GPU、ASIC及部分晶圓針測業務，2026年營收力拚年增約四成，逼近500億元大關，營運大衝刺。

業界指出，隨著AI加速進入量產階段，終端對GPU及ASIC計算晶片的測試需求大增，京元電深耕AI測試多年，在高階晶片量測、老化試驗及複雜測試流程上建立深厚技術門檻，業界預估，AI相關業務今年將占京元電營收比重逾75%，顯示京元電從傳統電子測試供應商轉型為AI晶片測試服務平台商。

法人進一步分析，驅動京元電AI營收攀升的最大動能，在於下一代GPU平台測試時間延長，因為新世代GPU的測試架構與測試條件更為複雜、測試迴圈更長，測試時間將比現在增加70%至80%，而測試時間延長意味著單顆晶片的測試金額大幅提高，有助優化京元電的毛利結構。

在GPU測試之外，ASIC同樣為京元電的另一成長動能。法人說明，隨著資料中心及雲端服務商對客製化AI加速器需求爆發，ASIC測試比重逐步攀升，加上下一代ASIC的熱設計功率（TDP）多數將超過1,000瓦，必須導入燒機測試與更嚴格最終測試流程，測試時間與測試費用同步上升，對京元電未來營收有顯著貢獻。

外資強調，京元電在高功率燒錄測試技術上的絕對領導地位，隨著晶片功耗不斷攀升，京元電已通過3kW至5kW燒錄測試認證，且8kW的技術研發已接近完成，相較之下，多數競爭對手仍在2kW以下，這項技術差距使京元電與頂尖AI客戶如輝達、博通的合作關係更穩固。"
2026-01-14 23:21,東陽2025年 EPS 6.43元,"汽車零組件大廠東陽 （1319） 昨（14）日公布2025年自結獲利數字，交出稅前盈餘47.92億元、每股稅前盈餘7.87元，每股純益6.43元的佳績，即使去年產業遭遇關稅、匯率等逆風，東陽去年每股獲利仍寫下歷史次高紀錄。

東陽表示，將持續擴大產能規模，預估在三到五年之間，產能規模更將大躍升，使競爭力再上層樓。東陽昨日公布2025年12月自結合併稅前盈餘5.5億元，較去年同期5.35億元成長3%，連六個月呈現月增走勢，更寫下九個月以來新高紀錄，若排除兩期匯兌影響，年成長幅度達10%。

東陽2025全年自結合併稅前盈餘47.92億元，自結合併稅後純益39.04億元、年減10.8%，EPS 6.43元，仍寫下史上次高紀錄。

東陽在2024年稅前盈餘55.3億元，稅後純益43.77億元，EPS 7.4元創下歷史新高後，原本期待2025再創新高，但受到美國關稅和台幣匯率衝擊影響，第2季遭遇亂流，即使如此下半年營收獲利持續提升，整體獲利表現突出，主要關鍵在拉開和競爭對手的差距，使得產業雖然受到衝擊，但東陽仍然能夠維持足夠的競爭力。

東陽表示，自2025年4月起，東陽在232條款25%及原關稅2.5%疊加後，銷美關稅高達27.5%，而日、韓、歐則僅15%，對企業經營是一大衝擊和考驗。但東陽在關稅及匯率等外在環境劇烈變動下，仍能繳出漂亮成績單。

東陽集團總裁吳永祥表示，東陽在持續整理整頓下，展現出東陽高度核心競爭力，及穩健且具永續性的經營韌性。"
2026-01-14 23:21,中華資安2025年獲利再創高,
2026-01-14 23:25,鑫科2026年營運將躍升,"中鋼集團旗下特殊合金材料商鑫科 （3663） 在面板級扇出型封裝（FOPLP）領域取得突破性進展。隨關鍵客戶群創成功切入SpaceX太空AI商機，鑫科作為獨家特殊合金載板供應商，營運表現有望大幅躍升。

受惠FOPLP載板歐美新客戶擴產、半導體靶材銷售年增20%等高值化題材，法人預期，鑫科2026年營運將隨貴金屬價格高檔與新產品放量，展現強勁成長動能。

針對FOPLP布局，鑫科目前是技轉方唯一認可的金屬載板供應商。公司透露，雖然去年上半年出貨略受影響，但第3季起既有客戶重新下單，且新增兩家國際客戶，第4季出貨量已超越上半年。

隨著群創FOPLP產線因應低軌衛星、車用與通訊晶片需求達滿載，鑫科載板需求動能強勁，預期2026年可望進一步挹注獲利。

鑫科積極由面板靶材轉向高值化半導體領域發展，避開面板產業供需失衡風險。去年來自半導體靶材及蒸鍍材銷售量年增20%，客戶數已由2020年的11家翻倍增長至40家。

此外，公司成功開發「金錫鈀動態澆鑄製程」並進入量產，解決材料易脆、難加工的痛點，強化在封裝市場的競爭力。

受惠白銀價格維持高檔，鑫科去年前三季貴金屬營收占比達57%。公司採取靈活的「貼水」定價策略與期貨避險，隨營收規模擴大，毛利額同步增長。

子公司中鋼精材方面，隨海綿鈦行情回穩，加上焊接型「銅箔陰極鈦輥」預計2026年第2季量產，獲利結構將趨於健康。

展望未來營運，鑫科持續深化循環經濟布局，靶材回收再利用已逐步開展，有助於降低生產成本並符合環境永續趨勢。在國防與低軌衛星領域，銅合金材料已獲客戶認可，低軌衛星封裝載板材料訂單亦持續放量。精材公司預計本季完成變電站設置，解決二期建設用電瓶頸，為長期產能擴充與營運規模提升鋪路。

法人分析，鑫科受惠群創打入SpaceX供應鏈，帶動載板需求呈「階梯式」成長，搭配半導體靶材客戶數持續增加，轉型綜效顯現。在貴金屬價格支撐與高毛利FOPLP載板訂單挹注下，鑫科2026年營收與獲利表現可期。"
2026-01-14 23:24,均豪2025年每股純益2.58元,"均豪 （5443） 昨（14）日公告2025年自結歸屬母公司業主稅後淨利4.15億元，為近19年來新高，每股純益2.58元。昨天股價上漲1.4元，成交量2,761張，收98元，挑戰重回百元大關。

均豪自結去年第4季合併稅前淨利3.1億元；歸屬母公司業主稅後淨利0.98億元；每股純益0.61元。

搭上AI蓬勃發展的浪潮，推升相關產品需求成長，均豪2025年合併營收46.7億元，年增5.2%，為近三年新高。

均豪董事長陳政興表示，積極轉型成果陸續展現，均豪個體的半導體營收貢獻比重已達五成，受惠AI需求延續，以再生晶圓、先進封測為營運雙主軸，預期將成為2026年成長動能。

均豪看好AI浪潮推動全球基礎設施升級，2022至2035年產業年複合成長率高達30.84%，在掌握「檢、量、磨、拋」四大核心能力，並預期再生晶圓與先進封測將是今、明兩年營收主力。"
2026-01-14 23:24,營邦去年12月 EPS 0.84元,"機殼廠營邦 （3693） 昨（14）日公告去年12月自結稅後純益3,600萬元，年減42%，每股純益0.84元。

營邦日前被輝達（Nvidia）執行長黃仁勳在CES大會上欽點，帶動近期股價狂飆，從起漲點268元，一度最高漲至394元，昨日小漲5元，收371元，波段漲幅近四成，成為盤面焦點。

營邦董事長梁順營日前表示，營邦以輝達生態系夥伴之姿，正全力投入以NVIDIA BlueField-4平台作為儲存控制核心的系統研發。

此外，營邦不僅與輝達合作，同時也與超微（AMD）合作，將在今年第2季將量產出貨搭載MI450的機櫃與機殼，目前機櫃、機殼主要應用在採用輝達技術的AI Storage，今年也還會有二個案子將出貨，AMD方面則是切入搭載MI450的AI伺服器機櫃與機殼，估計今年在AI領域的營收比重有望擴大。

因應客戶未來需求，營邦已在台灣、越南兩地同步擴產。"
2026-01-14 23:22,能率揪團 強攻資安防護,"能率創新 （5392） 旗下OA（辦公室自動化設備）子公司宏羚 （7885） 昨（14）日召開興櫃前法說會，並宣布與資安業者奧義賽博展開合作，共同切入企業終端資安防護市場。

據了解，奧義賽博曾榮獲國發會Next Big獎，被市場視為「資安國家代表隊」，宏羚成立於1982年，2013年能率集團入股，目前資本額2.92億元，員工數約200人，主要核心業務為印表機、事務機出租、銷售與耗材服務市場，累積服務客戶已超過4萬家，橫跨科技、製造、金融、服務業，以及公部門等，預計元月16日正式登錄興櫃。

宏羚指出，過去長期被視為單純輸出工具的印表機等事務機器，如今已成為企業資安體系中最容易被忽略、卻風險極高的破口，因此公司與奧義賽博合作，藉此提供客戶全方位資安服務，搶攻市場商機。宏羚進一步表示，台灣多數企業在資安部署上，仍聚焦於IT機房設備與個人終端電腦，但目前已有駭客利用印表機作為入侵企業的起點，從而進行資料竊取或勒索攻擊，因此終端設備資安防護已成為企業下一階段的剛性需求，此次雙方攜手合作，共同切入企業終端資安防護市場，台灣終端資安整合服務市場商機逐步浮現。

奧義賽博指出，近年來，印表機等事務設備已演變為具備儲存、運算與網路功能的「微型電腦」，可接觸企業內部文件與關鍵資料，實際駭客攻擊案例陸續浮現，終端設備資安防護已成為企業不可忽視的關鍵課題。透過此次合作，奧義賽博的AI自動化資安能力得以直接落地至企業辦公場域。"
2026-01-14 23:22,安特羅疫苗獲越南認證,"еңӢе…үз”ҹ пјҲ4142пјү еӯҗе…¬еҸёе®үзү№зҫ… пјҲ6564пјү жҳЁпјҲ14пјүж—Ҙе®ЈеёғпјҢз”ұеңӢе…үжҪӯеӯҗзҙ°иғһе» з”ҹз”ўзҡ„е®үжӢ“дјҸи…ёз—…жҜ’71еһӢз–«иӢ—пјҲEnVAX-A71пјүпјҢе·ІзҚІи¶ҠеҚ—GMPиӘҚиӯүпјҢдёҰз”ұи¶ҠеҚ—и—Ҙе“Ғз®ЎзҗҶеұҖпјҲDAVпјүе®ҳз¶Іе…¬е‘Ҡж–јеӨ–еңӢз”ҹз”ўиЁӯж–ҪGMPеҗҲж јеҗҚе–®дёӯгҖӮ

е®үзү№зҫ…иЎЁзӨәпјҢйҖҷд№ҹжҳҜеңӢе…үзҙ°иғһеҹ№йӨҠе» з№јжі°еңӢGMPеҫҢпјҢеҶҚзҚІи¶ҠеҚ—GMPиӘҚиӯүпјҢз”ұж–јGMPиў«иҰ–зӮәи—Ҙиӯүж ёеҮҶзҡ„еҝ…иҰҒжўқд»¶пјҢеҸҜз®—жҳҜжҗ¶йҖІжқұеҚ”е·ҝе ҙеҶҚйҖІдёҖжӯҘгҖӮ

е®үзү№зҫ…жҢҮеҮәпјҢзҶҹжӮүе…ҲйҖІз”ҹзү©еҸҚжҮүеҷЁиЈҪзЁӢд»Ҙзўәдҝқи…ёз—…жҜ’з–«иӢ—з”ўиғҪиҲҮе“ҒиіӘз©©е®ҡпјҢжҳҜй ҶеҲ©еҸ–еҫ—еҗ„еңӢGMPзҡ„йҮҚиҰҒй—ңйҚөпјҢе°Қж–ји¶ҠеҚ—и—ҘиӯүпјҢе®үзү№зҫ…жҠұжҢҒжЁӮи§Җж…ӢеәҰпјҢй җиЁҲзөӮй»һе°ұеңЁдёҚйҒ иҷ•гҖӮ

е®үзү№зҫ…иЎЁзӨәпјҢи¶ҠеҚ—и…ёз—…жҜ’з–«иӢ—GMPиӘҚиӯүжҳҜ2025е№ҙ5жңҲеә•йҖҸйҒҺи¶ҠеҚ—еҗҲдҪңж–№VABIOTECHеҗ‘и¶ҠеҚ—DAVйҖҒд»¶пјҢDAVе·Іж–јд»Ҡе№ҙ1жңҲ12ж—ҘзҷјдҪҲзҡ„з¬¬140/QLD-CLиҷҹжӯЈејҸеҮҪд»¶е…¬е‘Ҡжө·еӨ–иЁӯж–ҪGMPеҗҲиҰҸжҖ§и©•дј°зөҗжһңпјҢз”ҹз”ўе®үзү№зҫ…и…ёз—…жҜ’з–«иӢ—зҡ„еңӢе…үжҪӯеӯҗзҙ°иғһе» еҸ–еҫ—GMPиӘҚиӯүгҖӮ

еңӢе…үз”ҹжҠҖиҖ—йү…иіҮе»әзҪ®й«ҳиҰҸж јзҙ°иғһеҹ№йӨҠе» пјҢиҮӘ2022е№ҙ6жңҲеҸ–еҫ—еҸ°зҒЈйЈҹи—ҘзҪІGMPиӘҚиӯүеҫҢпјҢ2025е№ҙзҚІжі°еңӢGMPпјҢ2026е№ҙеҲқеҶҚзҚІи¶ҠеҚ—GMPпјҢйЎҜзӨәеңӢе…үйҒёз”Ёз”ҹзү©еҸҚжҮүеҷЁзҡ„з”ҹз”ўжҠҖиЎ“е·Іи·Ёи¶ҠдёҖе®ҡзҡ„жҠҖиЎ“й–ҖжӘ»пјҢе°Қж–јжңӘдҫҶжҜҸе№ҙиҮіе°‘100иҗ¬еҠ‘д»ҘдёҠзҡ„з”ўиғҪз©©е®ҡдҫӣжҮүеҸ°зҒЈе’ҢжқұеҚ—дәһеёӮе ҙпјҢдҝЎеҝғеҚҒи¶ігҖӮ

е®үзү№зҫ…зёҪз¶“зҗҶејөе“Із‘ӢжҢҮеҮәпјҢйҷёзәҢеҸ–еҫ—еӨҡеңӢGMPи®“и…ёз—…жҜ’з–«иӢ—еңЁжқұеҚ—дәһеёӮе ҙдҪҲеұҖжӣҙжңүжҠҠжҸЎгҖӮз”ұеҸ°зҒЈиҮӘиЎҢз ”зҷјз”ҹз”ўзҡ„е®үзү№зҫ…и…ёз—…жҜ’з–«иӢ—е·ІеңЁи¶ҠеҚ—е®ҢжҲҗдёүжңҹеӨҡдёӯеҝғиҮЁеәҠи©Ұй©—пјҢзөҗжһңйЎҜзӨәз–«иӢ—жңүж•ҲжҖ§пјҲVEпјүйҒ”99.21%пјҢз¬ҰеҗҲдҝқиӯ·еҠӣеҸҠе…Қз–«жҢҒд№…жҖ§й—ңйҚөжҢҮжЁҷгҖӮ

д»–еј·иӘҝпјҢе®үзү№зҫ…е·ІеңЁи¶ҠеҚ—гҖҒжҫій–Җе’Ңжі°еңӢйҖҒеҮәи—Ҙиӯүз”іи«ӢпјҢзӣёдҝЎд»Ҡе№ҙе…§еҸҜеҸ–еҫ—е…·й«”йҖІеәҰгҖӮзӮәз©ҚжҘөжӢ“еұ•жқұеҚ—дәһеёӮе ҙпјҢд№ҹжҢҒзәҢеңЁеҚ°е°јгҖҒйҰ¬дҫҶиҘҝдәһзӯүеңӢе°ӢжұӮеҗҲдҪңеӨҘдјҙпјҢеҠ йҖҹжҺЁйҖІи…ёз—…жҜ’з–«иӢ—еңЁжқұеҚ—дәһзҡ„иЎӣж•ҷе®Је°ҺгҖӮ"
2026-01-14 19:05,台股擂台／「多空狙擊手」莊佳螢：政府資安標案效益發酵 熱門股看好華電網,
2026-01-15 00:30,奇鋐、環球晶 認購夯,
2026-01-15 00:29,華通、金寶 四檔馬力強,"大盤類股快速輪動，具題材與基本面的強勢股，持續受資金青睞。由於SpaceX的星鏈，在此次伊朗當局強制斷網情況下，再度發揮衛星通訊優勢，推升近來低軌衛星概念股漲勢，包括華通 （2313） 、金寶 （2312） 等受資金追捧，帶動相關權證表現。

法人表示，華通今年的資本支出將上修，新增的資本支出除了應用在泰國擴廠外，並預計在台灣擴產，以滿足資料中心與低軌衛星的強勁需求，最快有望在下半年產生實質貢獻。隨美系客戶去年下半年低軌衛星發射數量提升，預測今年衛星業務營收，將維持至少年增兩成水平。隨衛星產品的占比提升，整體毛利率有望進一步改善。

此外，華通的伺服器產能也持續提升，預估下半年可出貨美系客戶的資料中心產品，加上華通積極拓展AI伺服器相關應用，法人持續看好華通在AI伺服器領域的新訂單爭取，營收面仍具上修空間。

金寶也受惠低軌衛星與固態硬碟（SSD）產品需求暢旺雙題材帶動，昨（14）日股價亮燈漲停，收在30.3元漲停價。法人分析，金寶受惠低軌衛星地面站訂單進入成長期，市場看好其身為美系衛星大廠主要供應商的地位，加上AI伺服器布局成效顯現，股價已連續四天上漲。其中，在AI伺服器部分，除了出貨主板，有鑑於高壓直流輸電（HVDC）應用將成為AI伺服器電源櫃趨勢，金寶已具備HVDC製造能力，將攜手集團內的康舒，搶攻AI伺服器商機。

權證發行商表示，投資人若看好華通、金寶後續表現，可挑選價內外15%以內，有效天期三個月以上的權證入手，以小金搏大利。"
2026-01-15 00:28,聯發科、世芯 買中長期,"聯發科 （2454） 、世芯-KY （3661） 在ASIC前景持續看佳、挹注營運表現下，法人看好未來業績表現，並給予「買進」的投資評等，權證券商建議，可利用中長天期、券商造市積極等條件的認購權證，參與相關個股走勢。

因應谷歌自研晶片TPU訂單動能強勁，博通、聯發科紛紛調高2026年投片量，業界指出，聯發科已在內部進行資源調度，將手機晶片部門部分人力，轉往ASIC、車用等新藍海，目標直指資料中心與CSP客製化晶片商機。

市場傳出，谷歌TPU 2026年將邁入第八代、規模有望大幅上修。ASIC夥伴包括博通、聯發科皆積極為其準備產能。分析師指出，聯發科原先ASIC部門，即已取得汽車、電信安全SoC等實績，谷歌TPU一舉將難度拉升至3奈米，因此，內部資源陸續挪移，從手機晶片部門招兵買馬，組件千人規模的客製化IC團隊。

聯發科首個ASIC案件進展順利，預計2026年貢獻營收約10億美元，2027年放大至數十億美元，第二個專案則從2028年挹注營收。法人推測第二個CSP客戶為Meta，並將採用2奈米製程打造，凸顯聯發科已具備與國際大廠比拚肌肉的能力。

世芯-KY方面，第一個ASIC案件經歷了2025年市場紛紛擾擾的雜訊，仍維持2026年貢獻營收10億美元的目標不變，2027年將倍速放大至數十億美元，第二個專案則從2028年挹注營收。

分析師指出，2028年資料中心、AI ASIC市場規模預估由400億美元調高為500億美元，世芯-KY憑藉優異的IP、前段設計能力與後段先進封裝技術優勢，持續爭取多家CSP客戶。"
2026-01-15 00:27,昇達科 兩檔升空,"昇達科 （3491） 近期搭上SpaceX推動IPO、太空資料中心等順風車，加上中國大陸向國際電信總署（ITU）申報多個衛星計畫等助威，近期股價盤堅。

法人分析，SpaceX旗下Starlink上一季衛星發射數量達971顆，2025年發射3,207顆，分創單季及年度新高，美國聯邦通訊委員會日前更批准SpaceX約7,500顆衛星部署許可，添增昇達科後續想像空間。

面對AI運算需求激增及能源瓶頸，除Starlink、Amazon LEO等業者，Google與新創公司均有發展太空資料中心規畫，法人看好將帶動整體低軌衛星潛在市場規模擴大，昇達科營運同步水漲船高。

權證發行商建議，可買進價內外15%以內、距離到期日90天以上認購權證，參與這波短多行情。（中國信託證券提供）

權證投資必有風險，本專區資訊僅供參考，並不構成邀約、招攬或其他任何建議與推薦，請讀者審慎操作。"
2026-01-15 00:26,台燿 押價內外5%,"台燿 （6274） 為少數M7、M8高階CCL進入量產的供應商。ASIC方面，已獲得現階段最大CSP客戶採用，進入初步量產階段，去年第4季出貨動能持續增溫，目前CCL規格以Low DK+HVLP4為主，今年第2季產品改款後，CCL規格將再次提升。

隨著成功切入ASIC相關應用，也積極拓展CSP客戶，在材料升級加上CSP客戶上調資本支出趨勢下，對產品價量均有正面挹注；交換器方面，美系網通客戶800G滲透率穩定提升，材料由M7升級至M8，PCB設計層數亦由24L+提升至32L+，目前M7、M8占HSD-L已達50%以上，整體產能利用率90%以上，帶動營運持續成長。

看好台燿後市的投資人，建議利用價內外5%、可操作天期90天以上的商品介入。（永豐金證券提供）

權證投資必有風險，本專區資訊僅供參考，並不構成邀約、招攬或其他任何建議與推薦，請讀者審慎操作。"
2026-01-14 14:37,"台股收盤／上漲 234.56 點 收 30,941.78 點 台積電收 1,710 元 持平","台股 14 日震盪走高，終場上漲 234.56 點，收在 30,941.78 點，漲幅 0.76%。加權指數當日開盤 30,742.53 點，盤中最低同為 30,742.53 點，最高來到 30,994.81 點，成交量為新台幣 6,587 億元。上市上漲家數 892 家、下跌家數 176 家，漲停 42 家、跌停 0 家。

權值股方面，台積電 （2330） 收在 1,710 元，股價持平，對指數影響中性。

類股表現上，半導體指數小漲 0.09%；電子族群相對有撐，其他電子上漲 3.23%，電子組件上漲 2.26%，電腦週邊上漲 2.54%，網通上漲 1.12%，光電上漲 1.77%。傳產中，航運上漲 0.62%。金融類股則下跌 0.43%，表現相對偏弱。

個股方面，鴻海 （2317） 上漲 3.53%，台達電 （2308） 上漲 2.91%，聯發科 （2454） 上漲 1.01%。

（此文章為 AI 人機協作，正確數據以主管機關為準。）"
